"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Cervantes","Lugo","","","","","","","","","",""
"Degaña","Asturias","15.7 (15:30)","6.2 (05:40)","10.9","33 (01:20)","22 (23:00)","0","0","0","0","0"
"Ibias, San Antolin","Asturias","15.8 (15:50)","1.3 (03:10)","8.6","14 (19:10)","9 (19:40)","0","0","0","0","0"
"Villayón, Oneta","Asturias","9.4 (13:50)","0.7 (07:30)","5","10 (15:50)","6 (15:10)","0","0","0","0","0"
"Castropol","Asturias","12.9 (16:20)","1.4 (05:40)","7.1","23 (10:40)","11 (10:30)","0","0","0","0","0"
"Taramundi, Ouria","Asturias","9.8 (15:30)","0.4 (08:30)","5.1","17 (02:20)","14 (16:10)","0","0","0","0","0"
"Ribadeo","Lugo","11.4 (17:10)","2.4 (02:30)","6.9","22 (08:40)","13 (08:40)","0","0","0","0","0"
"Mondoñedo","Lugo","9.7 (16:10)","0.4 (08:20)","5","","","0","0","0","0","0"
"Burela","Lugo","10.5 (21:50)","7.9 (05:40)","9.2","","","0","0","0","0","0"
"Estaca de Bares","A Coruña","10.6 (21:00)","8.6 (06:40)","9.6","69 (00:20)","53 (03:00)","0","0","0","0","0"
"Ferrol","A Coruña","18.1 (15:40)","4.5 (07:50)","11.3","19 (07:30)","13 (00:40)","0","0","0","0","0"
"As Pontes","A Coruña","13.2 (15:30)","-1.1 (09:10)","6","","","0.2","0","0.2","0","0"
"A Coruña","A Coruña","15.1 (14:20)","4.4 (08:10)","9.8","20 (09:30)","13 (08:50)","0","0","0","0","0"
"A Coruña Bens","A Coruña","14.5 (16:10)","3.9 (08:40)","9.2","25 (10:20)","21 (08:40)","0","0","0","0","0"
"A Coruña Aeropuerto","A Coruña","16.2 (14:40)","-1.5 (08:10)","7.4","26 (00:50)","14 (23:59)","0","0","0","0","0"
"Carballo, Depuradora","A Coruña","18.8 (15:10)","-4.4 (08:40)","7.2","","","0","0","0","0","0"
"Cabo Vilán","A Coruña","14.9 (14:30)","5.7 (01:40)","10.3","27 (17:50)","22 (17:50)","0","0","0","0","0"
"Vimianzo","A Coruña","18.9 (16:00)","3.1 (09:40)","11","","","0","0","0","0","0"
"Fisterra","A Coruña","18.2 (13:10)","12.9 (06:20)","15.6","32 (17:50)","26 (18:00)","0","0","0","0","0"
"Mazaricos","A Coruña","17.1 (16:00)","-0.5 (09:50)","8.3","","","0","0","0","0","0"
"Sobrado","A Coruña","21.8 (15:40)","-4.6 (09:00)","8.6","","","0","0","0","0","0"
"Santiago de Compostela Aeropuerto","A Coruña","18.2 (16:50)","-2.2 (08:30)","8","18 (00:40)","11 (07:20)","0","0","0","0","0"
"Noia","A Coruña","17.2 (15:40)","4.6 (05:50)","10.9","17 (12:10)","7 (02:50)","0","0","0","0","0"
"Monte Iroite","A Coruña","","","","","","0","0","0","0","0"
"Boiro","A Coruña","16.0 (16:00)","-1.0 (08:20)","7.5","","","0","0","0","0","0"
"Monterroso","Lugo","14.7 (16:10)","1.0 (03:00)","7.8","","","0","0","0","0","0"
"Silleda","Pontevedra","20.2 (14:40)","1.5 (05:20)","10.9","27 (02:30)","19 (02:20)","0","0","0","0","0"
"A Estrada","Pontevedra","15.3 (15:40)","-1.2 (08:40)","7.1","","","0","0","0","0","0"
"Padrón","A Coruña","17.2 (16:30)","-2.1 (08:40)","7.6","28 (11:50)","19 (08:00)","0","0","0","0","0"
"Santiago de Compostela","A Coruña","19.5 (16:20)","2.5 (07:30)","11","21 (00:40)","9 (00:40)","0","0","0","0","0"
"Rois, Casas do Porto","A Coruña","17.3 (17:40)","1.7 (08:50)","9.5","","","0","0","0","0","0"
"Vilagarcía de Arousa","Pontevedra","19.4 (17:10)","2.2 (07:10)","10.8","17 (03:50)","10 (05:20)","0","0","0","0","0"
"Pontevedra","Pontevedra","19.0 (14:50)","4.8 (08:10)","11.9","26 (23:40)","17 (01:50)","0","0","0","0","0"
